file,image_type,face_id,dominant_1,percent_1,dominant_2,percent_2,skin_tone,tone_label,accuracy(0-100),source
166lilimc.jpg,color,,#E78377,0.66,#A36A67,0.34,#A87F64,6.0,84.89,ine
167geramc,167geramc.jpg is not found or is not a valid image.,,,,,,,,,ine
167marcpve.jpg,color,1.0,#A2887A,0.6,#5D473A,0.4,#A0765A,5.0,86.93,ine
167martpan.jpg,color,1.0,#865F4E,0.55,#D1A692,0.45,#946C51,4.0,87.6,ine
168amermc.jpg,color,1.0,#CDA38B,0.85,#704A3A,0.15,#BE9D86,9.0,92.08,ine
168ernepve.jpg,color,1.0,#804532,0.53,#D7977F,0.47,#946C51,4.0,84.14,ine
168robepan,168robepan.jpg is not found or is not a valid image.,,,,,,,,,ine
169camepan.jpg,color,1.0,#F1BDA2,0.65,#9A6751,0.35,#C5A691,10.0,86.79,ine
169guadind.jpg,color,,#D4B19C,0.71,#846657,0.29,#C8AC99,11.0,91.07,ine
169jesumc.jpg,color,,#9D6759,0.64,#ED7E2E,0.36,#A0765A,5.0,88.34,ine
169marcpve.jpg,color,,#C79071,0.62,#935C3C,0.38,#B1886C,7.0,90.78,ine
170angepan.jpg,color,1.0,#CF9C92,0.64,#774F49,0.36,#A87F64,6.0,84.3,ine
170dianmc.jpg,color,1.0,#BF8C73,0.66,#6A4B39,0.34,#B1886C,7.0,88.87,ine
170jorgmc.jpg,color,,#CD9882,0.54,#834B35,0.46,#A0765A,5.0,85.67,ine
170juanpve.jpg,color,1.0,#DDA491,0.8,#67433C,0.2,#BE9D86,9.0,85.76,ine
170maripan.jpg,color,,#694536,0.52,#B99085,0.48,#876249,3.0,85.13,ine
170victpve.jpg,color,1.0,#926254,0.62,#DBA796,0.38,#A0765A,5.0,87.33,ine
171cesamc.jpg,color,1.0,#D59475,0.56,#8F523B,0.44,#A87F64,6.0,86.93,ine
171sandpve.jpg,color,1.0,#D4967A,0.76,#734538,0.24,#B1886C,7.0,87.49,ine
171sergpan.jpg,color,1.0,#D5ADA1,0.77,#98736B,0.23,#C5A691,10.0,91.01,ine
172aleymc.jpg,color,1.0,#D09C8A,0.75,#6C4D43,0.25,#B69279,8.0,87.3,ine
172ariapve.jpg,color,1.0,#CE9670,0.86,#5F402F,0.14,#B1886C,7.0,90.1,ine
172gabrpan.jpg,color,1.0,#69442D,0.61,#826653,0.39,#775741,2.0,93.79,ine
173cindpve.jpg,color,1.0,#B68B70,0.74,#6C4C39,0.26,#B1886C,7.0,92.48,ine
173mairmc.jpg,color,1.0,#73493D,0.55,#C89C90,0.45,#876249,3.0,83.93,ine
173yndipan.jpg,color,1.0,#BD8268,0.82,#734E40,0.18,#A87F64,6.0,91.85,ine
